,common_type,food_name,locale,photo,serving_qty,serving_unit,tag_id,tag_name,brand_name,brand_name_item_name,brand_type,nf_calories,nix_brand_id,nix_item_id,region
0,,blueberry,en_US,{'thumb': 'https://d2xdmhkmkbyw75.cloudfront.net/426_thumb.jpg'},1.0,berry,426,blueberry,,,,,,,
1,,blueberry bagel,en_US,{'thumb': 'https://d2xdmhkmkbyw75.cloudfront.net/6042_thumb.jpg'},1.0,bagel,6042,blueberry bagel,,,,,,,
2,,blueberry bread,en_US,"{'thumb': 'https://d2eawub7utcl6.cloudfront.net/images/nix-apple-grey.png', 'highres': None, 'is_user_uploaded': False}",1.0,slice,6237,blueberry bread,,,,,,,
3,,blueberry donut,en_US,"{'thumb': 'https://d2eawub7utcl6.cloudfront.net/images/nix-apple-grey.png', 'highres': None, 'is_user_uploaded': False}",1.0,doughnut,3646,blueberry doughnut,,,,,,,
4,,blueberry muffin,en_US,{'thumb': 'https://d2xdmhkmkbyw75.cloudfront.net/427_thumb.jpg'},1.0,medium,427,blueberry muffin,,,,,,,
5,,blueberry yogurt,en_US,{'thumb': 'https://d2xdmhkmkbyw75.cloudfront.net/1684_thumb.jpg'},1.0,container (6 oz),1684,blueberry yogurt,,,,,,,
6,,blueberry waffle,en_US,{'thumb': 'https://d2xdmhkmkbyw75.cloudfront.net/4711_thumb.jpg'},1.0,waffle,4711,blueberry waffle,,,,,,,
7,,yogurt blueberry,en_US,{'thumb': 'https://d2xdmhkmkbyw75.cloudfront.net/1684_thumb.jpg'},1.0,container (6 oz),1684,blueberry yogurt,,,,,,,
8,2,belvita blueberry,en_US,{'thumb': 'https://d2xdmhkmkbyw75.cloudfront.net/4009_thumb.jpg'},1.0,pack,8617,"belvita biscuit, blueberry",,,,,,,
9,,blueberry oatmeal,en_US,"{'thumb': 'https://d2eawub7utcl6.cloudfront.net/images/nix-apple-grey.png', 'highres': None, 'is_user_uploaded': False}",1.0,cup,5761,blueberry oatmeal,,,,,,,
10,,blueberry icecream,en_US,"{'thumb': 'https://d2eawub7utcl6.cloudfront.net/images/nix-apple-grey.png', 'highres': None, 'is_user_uploaded': False}",1.0,cup,10084,berry ice cream,,,,,,,
11,,blueberry pancakes,en_US,{'thumb': 'https://d2xdmhkmkbyw75.cloudfront.net/1900_thumb.jpg'},1.0,"pancake (4"" dia)",1900,blueberry pancake,,,,,,,
12,,blueberry smoothies,en_US,"{'thumb': 'https://d2eawub7utcl6.cloudfront.net/images/nix-apple-grey.png', 'highres': None, 'is_user_uploaded': False}",20.0,fl oz,4366,blueberry smoothie,,,,,,,
13,,blueberry cheesecake,en_US,{'thumb': 'https://d2xdmhkmkbyw75.cloudfront.net/4945_thumb.jpg'},1.0,piece,4945,blueberry cheesecake,,,,,,,
14,,blueberry coffee cake,en_US,"{'thumb': 'https://d2eawub7utcl6.cloudfront.net/images/nix-apple-grey.png', 'highres': None, 'is_user_uploaded': False}",1.0,piece,4757,blueberry cake,,,,,,,
15,,blueberry cream cheese,en_US,"{'thumb': 'https://d2eawub7utcl6.cloudfront.net/images/nix-apple-grey.png', 'highres': None, 'is_user_uploaded': False}",2.0,tbsp,5877,blueberry cream cheese,,,,,,,
16,2,yoplait blueberry yogurt,en_US,"{'thumb': 'https://d2eawub7utcl6.cloudfront.net/images/nix-apple-grey.png', 'highres': None, 'is_user_uploaded': False}",1.0,container,13030,yoplait blueberry yogurt,,,,,,,
17,2,belvita blueberry biscuits,en_US,{'thumb': 'https://d2xdmhkmkbyw75.cloudfront.net/4009_thumb.jpg'},1.0,pack,8617,"belvita biscuit, blueberry",,,,,,,
18,2,yoplait light blueberry yogurt,en_US,"{'thumb': 'https://d2eawub7utcl6.cloudfront.net/images/nix-apple-grey.png', 'highres': None, 'is_user_uploaded': False}",1.0,container,9502,yoplait light blueberry,,,,,,,
19,2,natures bakery blueberry fig bar,en_US,"{'thumb': 'https://d2eawub7utcl6.cloudfront.net/images/nix-apple-grey.png', 'highres': None, 'is_user_uploaded': False}",1.0,oz,11562,natures bakery blueberry fig bar,,,,,,,
20,,Root Beer Barrels,en_US,{'thumb': 'https://d1r9wva3zcpswd.cloudfront.net/551f22fa6c7bd06653af8dc7.jpeg'},3.0,pieces,,,Blueberry Hill,Blueberry Hill Root Beer Barrels,2.0,70.0,51db37c8176fe9790a899590,551f21a65b98dbc23e884f02,1.0
21,,Blueberry Amaretto Syrup,en_US,{'thumb': 'https://d1r9wva3zcpswd.cloudfront.net/56d06eba6949208b737a058a.jpeg'},0.25,cup,,,The Blueberry Store,The Blueberry Store Blueberry Amaretto Syrup,2.0,140.0,55c8efd35d2644e770d50b76,56d06fda333d23d401833695,1.0
22,,Artificial Blueberry Donuts,en_US,{'thumb': 'https://d1r9wva3zcpswd.cloudfront.net/54fd132977a578310bcf38e0.jpeg'},1.0,donut,,,Blueberry Dunker,Blueberry Dunker Artificial Blueberry Donuts,2.0,310.0,54fd12c5dc699a1a6c88596f,54fd130aa28818f4586f86b9,1.0
